,C_LAT,C_LONG,H_LAT,H_LONG
179,-12.021349,-76.88144099999998,-12.030717,-76.889161
180,-12.112695,-77.01607799999998,-12.112153,-77.002835
181,-12.090744,-77.020813,-12.09054,-77.01850299999998
182,-12.022926,-77.07615599999998,-12.022506,-77.081158
183,-12.135249,-76.963723,-12.135469,-76.96350099999998
184,-12.159521,-77.0232,-12.160191,-77.02352299999998
185,-11.878889,-77.01855,-11.879687,-77.019867
186,-11.874007,-77.016208,-11.87391,-77.00857
187,-11.881087,-77.021474,-11.879687,-77.019867
188,-11.887183,-77.024493,-11.887336,-77.02318699999998
189,-11.886283,-77.025771,-11.887336,-77.02318699999998
190,-11.883058,-77.030474,-11.879687,-77.019867
191,-11.883535,-77.030705,-11.879687,-77.019867
192,-11.96904,-77.059104,-11.972221,-77.057362
193,-11.942344,-77.059938,-11.943912,-77.05793799999998
194,-11.880133,-77.03215799999998,-11.879687,-77.019867
195,-11.893206,-77.03949799999998,-11.89596,-77.037782
196,-11.895373,-77.043114,-11.89596,-77.037782
197,-11.900977,-77.040898,-11.899205,-77.038696
198,-11.97034,-77.00047,-11.970829,-76.995232
199,-11.964829,-77.004199,-11.965937,-77.00242699999998
200,-11.958828,-76.99467699999998,-11.95532,-76.99210499999998
201,-12.08577,-77.049013,-12.085377,-77.050247
202,-12.158884,-76.973141,-12.161379,-76.973275
203,-12.024816,-76.99718699999998,-12.022758,-77.000873
204,-11.94653,-77.08665999999998,-11.944327,-77.08753
205,-12.190165,-77.010519,-12.183889,-77.008213
206,-12.068008,-77.054483,-12.074491,-77.054854
207,-12.10592,-77.00488099999998,-12.106298,-77.007236
208,-12.107936,-76.98146199999998,-12.106576,-76.97962699999998
209,-12.10909,-76.995886,-12.111898,-76.999302
210,-12.02168,-77.02567,-12.0228,-77.02811
211,-11.951434,-77.05046299999998,-11.950983,-77.04994499999998
212,-12.0552,-77.09106,-12.054064,-77.087553
213,-12.054538,-77.09537899999998,-12.042956,-77.09869299999998
214,-12.057092,-77.09310999999998,-12.057644,-77.096642
215,-12.038497,-77.02754799999998,-12.038127,-77.026314
216,-12.03631,-77.02382199999998,-12.034377,-77.02450399999998
217,-12.03682,-77.02695199999998,-12.038127,-77.026314
218,-12.045887,-77.02180199999998,-12.047523,-77.02191999999998
219,-12.196312,-76.95006999999998,-12.198331,-76.952506
220,-12.06864,-77.0573,-12.070875,-77.05931699999998
221,-12.07713,-77.04567299999998,-12.077112,-77.046467
222,-12.097056,-76.96608399999998,-12.10031,-76.971125
223,-12.081789,-77.041425,-12.079767,-77.04021899999998
224,-12.065024,-77.094228,-12.070561,-77.093362
225,-12.075001,-77.035686,-12.076248,-77.035846
226,-12.09027,-77.00248999999998,-12.089398,-77.00738
227,-12.09223,-76.99644,-12.085748,-76.992681
228,-12.10037,-77.00157199999998,-12.106066,-77.001275
229,-12.069758,-77.023748,-12.075441,-77.022943
230,-12.070372,-77.02166099999998,-12.070528,-77.01695999999998
231,-12.082556,-77.008043,-12.08429,-77.00242199999998
232,-12.080646,-77.00381899999998,-12.079766,-77.001779
233,-12.076389,-76.995247,-12.076238,-76.989688
234,-12.064723,-77.036153,-12.062734,-77.039266
235,-12.150872,-76.97387,-12.15246,-76.97222999999998
236,-12.150127,-76.977783,-12.150745,-76.988438
237,-12.156934,-76.963851,-12.160672,-76.95711799999998
